hotel,is_canceled,lead_time,arrival_date_year,Fee
Resort Hotel,0,342,2015,2149
Resort Hotel,0,737,2015,6231
Resort Hotel,0,7,2015,1935
Resort Hotel,0,13,2015,114
Resort Hotel,0,14,2015,2750
Resort Hotel,0,14,2015,5644
Resort Hotel,0,0,2015,1535
Resort Hotel,0,9,2015,3888
Resort Hotel,1,85,2015,3212
Resort Hotel,1,75,2015,1224
Resort Hotel,1,23,2015,7587
Resort Hotel,0,35,2015,3557
Resort Hotel,0,68,2015,2513
Resort Hotel,0,18,2015,3934
Resort Hotel,0,37,2015,7166
Resort Hotel,0,68,2015,6207
Resort Hotel,0,37,2015,7300
Resort Hotel,0,12,2015,4664
Resort Hotel,0,0,2015,6017
Resort Hotel,0,7,2015,1163
Resort Hotel,0,37,2015,521
Resort Hotel,0,72,2015,3830
Resort Hotel,0,72,2015,3162
Resort Hotel,0,72,2015,7640
Resort Hotel,0,127,2015,1546
Resort Hotel,0,78,2015,3003
Resort Hotel,0,48,2015,232
Resort Hotel,1,60,2015,7476
Resort Hotel,0,77,2015,5399
Resort Hotel,0,99,2015,1020
Resort Hotel,0,118,2015,3970
Resort Hotel,0,95,2015,4589
Resort Hotel,1,96,2015,3130
Resort Hotel,0,69,2015,7600
Resort Hotel,1,45,2015,489
Resort Hotel,1,40,2015,6020
Resort Hotel,0,15,2015,225
Resort Hotel,0,36,2015,7783
Resort Hotel,1,43,2015,2876
Resort Hotel,0,70,2015,608
Resort Hotel,1,45,2015,516
Resort Hotel,0,45,2015,1137
Resort Hotel,0,16,2015,3148
Resort Hotel,0,70,2015,3841
Resort Hotel,0,107,2015,1604
Resort Hotel,1,47,2015,7496
Resort Hotel,0,96,2015,6938
Resort Hotel,0,113,2015,283
Resort Hotel,0,90,2015,7089
Resort Hotel,0,50,2015,4159
Resort Hotel,0,113,2015,5682
Resort Hotel,0,93,2015,3917
Resort Hotel,0,76,2015,524
Resort Hotel,0,3,2015,3750
Resort Hotel,0,1,2015,5883
Resort Hotel,0,1,2015,6754
Resort Hotel,0,0,2015,234
Resort Hotel,0,0,2015,1754
Resort Hotel,0,0,2015,4720
Resort Hotel,0,14,2015,380
Resort Hotel,0,10,2015,7523
Resort Hotel,0,5,2015,5123
Resort Hotel,0,17,2015,1798
Resort Hotel,0,93,2015,4678
Resort Hotel,1,3,2015,3064
Resort Hotel,0,10,2015,7516
Resort Hotel,0,3,2015,3843
Resort Hotel,0,51,2015,1737
Resort Hotel,1,71,2015,1428
Resort Hotel,1,63,2015,3208
Resort Hotel,1,62,2015,1284
Resort Hotel,1,101,2015,2537
Resort Hotel,0,2,2015,4187
Resort Hotel,0,15,2015,6187
Resort Hotel,1,51,2015,6752
Resort Hotel,0,3,2015,6483
Resort Hotel,1,48,2015,5583
Resort Hotel,0,2,2015,4745
Resort Hotel,0,72,2015,5988
Resort Hotel,0,81,2015,4031
Resort Hotel,0,99,2015,1210
Resort Hotel,1,368,2015,6475
Resort Hotel,0,364,2015,6569
Resort Hotel,1,81,2015,7594
Resort Hotel,0,99,2015,294
Resort Hotel,0,324,2015,2370
Resort Hotel,0,69,2015,6629
Resort Hotel,1,79,2015,1182
Resort Hotel,0,12,2015,1883
Resort Hotel,0,9,2015,3905
Resort Hotel,0,1,2015,988
Resort Hotel,0,21,2015,7453
Resort Hotel,0,9,2015,3668
Resort Hotel,0,109,2015,827
Resort Hotel,1,109,2015,401
Resort Hotel,1,72,2015,1884
Resort Hotel,1,63,2015,7722
Resort Hotel,0,63,2015,5371
Resort Hotel,0,101,2015,295
Resort Hotel,0,102,2015,3165
Resort Hotel,0,4,2015,6581
Resort Hotel,0,98,2015,330
Resort Hotel,0,92,2015,5926
Resort Hotel,0,95,2015,4135
Resort Hotel,0,102,2015,7394
Resort Hotel,1,26,2015,490
Resort Hotel,1,73,2015,7574
Resort Hotel,1,102,2015,2608
Resort Hotel,0,115,2015,3383
Resort Hotel,0,102,2015,5693
Resort Hotel,0,86,2015,2141
Resort Hotel,0,78,2015,312
Resort Hotel,0,52,2015,4250
Resort Hotel,0,29,2015,6949
Resort Hotel,1,101,2015,2783
Resort Hotel,0,109,2015,5787
Resort Hotel,0,92,2015,7708
Resort Hotel,0,92,2015,1528
Resort Hotel,0,79,2015,1767
Resort Hotel,0,2,2015,3114
Resort Hotel,0,30,2015,7118
Resort Hotel,1,51,2015,6651
Resort Hotel,1,36,2015,5964
Resort Hotel,1,73,2015,556
Resort Hotel,1,33,2015,6544
Resort Hotel,0,32,2015,2339
Resort Hotel,0,8,2015,3741
Resort Hotel,0,100,2015,5389
Resort Hotel,0,1,2015,6796
Resort Hotel,0,100,2015,3328
Resort Hotel,0,100,2015,7487
Resort Hotel,0,9,2015,3872
Resort Hotel,1,5,2015,3134
Resort Hotel,0,0,2015,1933
Resort Hotel,0,9,2015,1694
Resort Hotel,0,2,2015,1375
Resort Hotel,0,2,2015,5341
Resort Hotel,0,9,2015,4739
Resort Hotel,1,5,2015,4685
Resort Hotel,0,2,2015,7432
Resort Hotel,0,44,2015,2943
Resort Hotel,0,80,2015,3016
Resort Hotel,0,97,2015,3331
Resort Hotel,0,109,2015,3603
Resort Hotel,0,30,2015,598
Resort Hotel,0,64,2015,4468
Resort Hotel,0,39,2015,5398
Resort Hotel,0,90,2015,6298
Resort Hotel,1,34,2015,2717
Resort Hotel,1,93,2015,4849
Resort Hotel,0,97,2015,7405
Resort Hotel,0,29,2015,4807
Resort Hotel,1,101,2015,7333
Resort Hotel,0,27,2015,975
Resort Hotel,0,8,2015,7646
Resort Hotel,0,82,2015,4654
Resort Hotel,0,94,2015,1322
Resort Hotel,0,110,2015,5923
Resort Hotel,0,96,2015,7014
Resort Hotel,0,79,2015,5735
Resort Hotel,0,115,2015,6053
Resort Hotel,0,111,2015,7328
Resort Hotel,0,51,2015,6258
Resort Hotel,0,94,2015,1128
Resort Hotel,0,81,2015,7631
Resort Hotel,0,84,2015,7494
Resort Hotel,0,51,2015,1116
Resort Hotel,0,111,2015,2835
Resort Hotel,0,0,2015,926
Resort Hotel,0,2,2015,3911
Resort Hotel,0,7,2015,6471
Resort Hotel,0,98,2015,2092
Resort Hotel,0,95,2015,6097
Resort Hotel,1,48,2015,3953
Resort Hotel,0,66,2015,7300
Resort Hotel,0,104,2015,3968
Resort Hotel,0,28,2015,6457
Resort Hotel,0,34,2015,2656
Resort Hotel,0,98,2015,4847
Resort Hotel,0,104,2015,6355
Resort Hotel,0,68,2015,4651
Resort Hotel,1,86,2015,3856
Resort Hotel,0,258,2015,6160
Resort Hotel,0,111,2015,1635
Resort Hotel,1,94,2015,366
Resort Hotel,0,112,2015,3607
Resort Hotel,0,100,2015,6522
Resort Hotel,0,33,2015,4135
Resort Hotel,0,97,2015,5893
Resort Hotel,0,80,2015,5503
Resort Hotel,0,90,2015,5908
Resort Hotel,0,111,2015,1420
Resort Hotel,0,65,2015,3100
Resort Hotel,1,67,2015,3153
Resort Hotel,0,55,2015,3699
Resort Hotel,0,21,2015,510
Resort Hotel,0,8,2015,5169
Resort Hotel,0,8,2015,5023
Resort Hotel,0,0,2015,2743
Resort Hotel,0,0,2015,6169
Resort Hotel,0,0,2015,1607
Resort Hotel,0,8,2015,4298
Resort Hotel,0,66,2015,142
Resort Hotel,0,88,2015,7369
Resort Hotel,0,0,2015,3965
Resort Hotel,1,43,2015,3165
Resort Hotel,1,88,2015,3899
Resort Hotel,0,54,2015,4374
Resort Hotel,1,292,2015,905
Resort Hotel,0,112,2015,3954
Resort Hotel,0,68,2015,3523
Resort Hotel,0,7,2015,766
Resort Hotel,0,1,2015,3517
Resort Hotel,1,113,2015,2121
Resort Hotel,0,5,2015,7681
Resort Hotel,0,83,2015,4111
Resort Hotel,1,105,2015,1198
Resort Hotel,0,0,2015,2756
Resort Hotel,1,1,2015,6698
Resort Hotel,1,1,2015,103
Resort Hotel,0,1,2015,6419
Resort Hotel,1,102,2015,6511
Resort Hotel,0,113,2015,5489
Resort Hotel,1,280,2015,3996
Resort Hotel,0,96,2015,3757
Resort Hotel,0,394,2015,3087
Resort Hotel,0,33,2015,296
Resort Hotel,0,82,2015,752
Resort Hotel,0,100,2015,6895
Resort Hotel,0,100,2015,7031
Resort Hotel,0,17,2015,6876
Resort Hotel,0,68,2015,842
Resort Hotel,0,12,2015,4085
Resort Hotel,1,77,2015,5356
Resort Hotel,1,24,2015,496
Resort Hotel,1,44,2015,2047
Resort Hotel,0,78,2015,6375
Resort Hotel,1,17,2015,6693
Resort Hotel,1,103,2015,2265
Resort Hotel,0,16,2015,6250
Resort Hotel,0,14,2015,893
Resort Hotel,0,77,2015,1158
Resort Hotel,0,90,2015,7079
Resort Hotel,0,90,2015,6279
Resort Hotel,0,90,2015,1449
Resort Hotel,0,366,2015,2830
Resort Hotel,0,249,2015,3956
Resort Hotel,1,69,2015,4449
Resort Hotel,0,10,2015,1668
Resort Hotel,0,22,2015,1158
Resort Hotel,0,91,2015,7085
Resort Hotel,0,23,2015,5525
Resort Hotel,0,11,2015,6381
Resort Hotel,0,3,2015,6583
Resort Hotel,0,13,2015,6999
Resort Hotel,0,108,2015,5149
Resort Hotel,0,91,2015,7605
Resort Hotel,0,37,2015,2131
Resort Hotel,0,21,2015,6703
Resort Hotel,0,106,2015,4513
Resort Hotel,0,30,2015,2032
Resort Hotel,0,30,2015,3491
Resort Hotel,1,51,2015,6493
Resort Hotel,0,79,2015,4915
Resort Hotel,0,21,2015,3790
Resort Hotel,0,35,2015,5357
Resort Hotel,0,78,2015,2368
Resort Hotel,0,31,2015,7731
Resort Hotel,0,78,2015,7203
Resort Hotel,0,78,2015,4155
Resort Hotel,0,44,2015,5261
Resort Hotel,0,34,2015,7805
Resort Hotel,0,87,2015,3266
Resort Hotel,0,11,2015,1430
Resort Hotel,0,115,2015,4602
Resort Hotel,0,86,2015,5098
Resort Hotel,0,41,2015,5993
Resort Hotel,0,32,2015,5341
Resort Hotel,0,34,2015,7483
Resort Hotel,0,34,2015,876
Resort Hotel,1,100,2015,2897
Resort Hotel,0,44,2015,608
Resort Hotel,0,304,2015,1850
Resort Hotel,1,36,2015,5937
Resort Hotel,0,117,2015,3598
Resort Hotel,0,70,2015,7252
Resort Hotel,0,110,2015,2077
Resort Hotel,1,109,2015,2767
Resort Hotel,0,33,2015,1657
Resort Hotel,0,33,2015,4188
Resort Hotel,0,33,2015,610
Resort Hotel,0,0,2015,4947
Resort Hotel,0,0,2015,7966
Resort Hotel,0,0,2015,6198
Resort Hotel,0,0,2015,3154
Resort Hotel,0,84,2015,3353
Resort Hotel,0,71,2015,3502
Resort Hotel,0,16,2015,7832
Resort Hotel,0,54,2015,6266
Resort Hotel,0,8,2015,2210
Resort Hotel,0,36,2015,1238
Resort Hotel,0,40,2015,1300
Resort Hotel,1,59,2015,6403
Resort Hotel,0,79,2015,6278
Resort Hotel,0,32,2015,6275
Resort Hotel,0,110,2015,6281
Resort Hotel,0,33,2015,7993
Resort Hotel,0,53,2015,1327
Resort Hotel,0,2,2015,3998
Resort Hotel,0,8,2015,6023
Resort Hotel,1,72,2015,1599
Resort Hotel,0,12,2015,4178
Resort Hotel,0,48,2015,7890
Resort Hotel,0,90,2015,169
Resort Hotel,0,34,2015,2285
Resort Hotel,1,58,2015,3367
Resort Hotel,0,59,2015,7903
Resort Hotel,0,90,2015,1796
Resort Hotel,0,116,2015,7913
Resort Hotel,0,31,2015,6409
Resort Hotel,1,51,2015,1098
Resort Hotel,0,48,2015,495
Resort Hotel,0,59,2015,4473
Resort Hotel,1,97,2015,1889
Resort Hotel,0,12,2015,6979
Resort Hotel,0,64,2015,3968
Resort Hotel,0,31,2015,2560
Resort Hotel,0,59,2015,4796
Resort Hotel,1,55,2015,5986
Resort Hotel,0,81,2015,2567
Resort Hotel,0,1,2015,4981
Resort Hotel,0,34,2015,7544
Resort Hotel,0,13,2015,5781
Resort Hotel,0,40,2015,3918
Resort Hotel,0,1,2015,4495
Resort Hotel,0,34,2015,2033
Resort Hotel,0,88,2015,7446
Resort Hotel,0,9,2015,4004
Resort Hotel,1,24,2015,3576
Resort Hotel,0,97,2015,2625
Resort Hotel,0,60,2015,6320
Resort Hotel,0,100,2015,3257
Resort Hotel,0,50,2015,3265
Resort Hotel,1,47,2015,7566
Resort Hotel,0,8,2015,7855
Resort Hotel,0,34,2015,2972
Resort Hotel,0,47,2015,3216
Resort Hotel,0,115,2015,6791
Resort Hotel,1,79,2015,5499
Resort Hotel,0,91,2015,1184
Resort Hotel,0,98,2015,4736
Resort Hotel,0,109,2015,5373
Resort Hotel,0,0,2015,742
Resort Hotel,0,98,2015,6517
Resort Hotel,0,0,2015,3412
Resort Hotel,0,9,2015,7717
Resort Hotel,0,62,2015,5159
Resort Hotel,1,45,2015,7472
Resort Hotel,0,42,2015,7986
Resort Hotel,0,54,2015,6562
Resort Hotel,0,51,2015,217
Resort Hotel,0,54,2015,3927
Resort Hotel,0,58,2015,6575
Resort Hotel,0,0,2015,4422
Resort Hotel,1,60,2015,1501
Resort Hotel,1,321,2015,1808
Resort Hotel,0,40,2015,6625
Resort Hotel,1,51,2015,3165
Resort Hotel,0,38,2015,7665
Resort Hotel,1,75,2015,7548
Resort Hotel,0,101,2015,1115
Resort Hotel,1,42,2015,5213
Resort Hotel,0,40,2015,902
Resort Hotel,0,109,2015,7608
Resort Hotel,1,81,2015,4755
Resort Hotel,1,98,2015,4506
Resort Hotel,0,32,2015,2825
Resort Hotel,0,72,2015,5032
Resort Hotel,0,115,2015,6761
Resort Hotel,0,118,2015,7865
Resort Hotel,0,81,2015,278
Resort Hotel,1,95,2015,5158
Resort Hotel,0,16,2015,6387
Resort Hotel,0,56,2015,6277
Resort Hotel,0,88,2015,4342
Resort Hotel,0,41,2015,6513
Resort Hotel,1,40,2015,7043
Resort Hotel,0,1,2015,1166
Resort Hotel,0,1,2015,839
Resort Hotel,0,1,2015,3124
Resort Hotel,1,76,2015,1385
Resort Hotel,0,0,2015,1641
Resort Hotel,0,49,2015,4348
Resort Hotel,0,76,2015,6989
Resort Hotel,0,73,2015,4133
Resort Hotel,0,73,2015,3718
Resort Hotel,0,317,2015,6766
Resort Hotel,1,112,2015,7407
Resort Hotel,0,6,2015,1676
Resort Hotel,0,8,2015,7059
Resort Hotel,1,96,2015,2289
Resort Hotel,1,96,2015,4776
Resort Hotel,0,99,2015,7456
Resort Hotel,0,66,2015,4785
Resort Hotel,0,38,2015,4800
Resort Hotel,0,38,2015,5861
Resort Hotel,0,113,2015,401
Resort Hotel,0,0,2015,520
Resort Hotel,1,62,2015,6255
Resort Hotel,1,39,2015,4580
Resort Hotel,0,37,2015,7632
Resort Hotel,1,58,2015,6363
Resort Hotel,0,37,2015,7882
Resort Hotel,0,57,2015,3200
Resort Hotel,0,57,2015,4591
Resort Hotel,0,57,2015,3813
Resort Hotel,0,57,2015,6796
Resort Hotel,0,57,2015,4979
Resort Hotel,0,83,2015,2797
Resort Hotel,0,57,2015,3942
Resort Hotel,0,57,2015,1956
Resort Hotel,1,57,2015,4036
Resort Hotel,0,57,2015,1281
Resort Hotel,0,57,2015,3929
Resort Hotel,0,57,2015,345
Resort Hotel,0,57,2015,2467
Resort Hotel,0,57,2015,1384
Resort Hotel,0,57,2015,7732
Resort Hotel,0,57,2015,7653
Resort Hotel,0,57,2015,6146
Resort Hotel,0,57,2015,1789
Resort Hotel,0,57,2015,6721
Resort Hotel,0,57,2015,4675
Resort Hotel,0,57,2015,5500
Resort Hotel,1,66,2015,994
Resort Hotel,0,13,2015,1349
Resort Hotel,0,50,2015,4077
Resort Hotel,1,48,2015,3241
Resort Hotel,1,0,2015,7730
Resort Hotel,0,7,2015,5358
Resort Hotel,0,0,2015,3007
Resort Hotel,1,66,2015,1769
Resort Hotel,0,13,2015,5609
Resort Hotel,0,66,2015,2638
Resort Hotel,0,10,2015,6913
Resort Hotel,1,10,2015,4762
